667g 169C 87% 458C 8%
49% 19% 8% 2% 786g
673g 13% 24C 650g 421g
430g 47% 610g 23% 10%
475g 1% 909C 123g 805g
68% 30% 1% 407g 672C
927g 268g 54g 260g 651C
136C 321g 637g 786g 286g
375C 421g 88% 0% 670C
224C 851g 75% 723C 261C
875C 853g 338C 132g 604C
19% 525C 45% 33% 1%
313C 533g 329C 421g 696C
779C 32% 120C 828g 7%
23% 467C 211g 49% 20%
60C 510g 406C 105C 43%
63% 24% 12% 770C 0%
76% 741g 725g 2% 19%
15% 677C 138C 216g 263g
397C 187C 774C 71% 5%
266g 50% 962g 312g 17%
-
85C 580g 424g 27% 631g
768g 78% 18% 266C 720C
695g 390g 53% 366g 2%
77% 97g 234g 525g 11%
404g 267g 8% 67% 931C
65% 10% 8% 12% 797C
563C 40% 883C 26% 840g
918C 496g 679C 688C 682C
422C 598g 355g 68% 734g
100C 91% 662g 719g 335C
31g 507C 42% 336g 29%
2% 666C 695C 383g 258g
80% 7% 503g 11% 329g
85% 91C 239g 531C 416g
594g 763C 970g 86% 10%
822C 956g 78% 722C 682g
362g 411C 864g 38C 578g
60% 16% 137C 435C 51g
368C 316g 67% 136C 623g
93% 689g 790g 5% 0%
987g 515C 490g 710C 127C
35g 340C 24% 98g 101g
830C 59% 804C 778C 31C
206C 98% 0% 77C 0%
911g 57% 453g 814g 294C
273g 15C 96% 3% 387g
58% 16% 371g 646C 820C
709g 462g 38C 748C 818g
72% 518g 777g 10C 993C
230g 47% 761C 20% 570C
119C 148g 98g 848g 43%
592g 11% 407g 330C 552g
871C 579C 652C 40C 99C
963C 594g 52% 2% 9%
372C 665C 299C 23% 18%
656g 9% 38g 928C 311C
393g 599g 91g 32g 456C
543g 12% 47% 29% 8%
65% 946g 1% 540g 415C
945C 30% 147g 999g 367C
808C 636C 70% 683C 390g
983C 475C 82% 618C 9%
78% 17% 870g 434C 576C
677g 415C 8% 966g 691g
118g 112C 60% 706g 121C
367g 61C 12% 308g 80%
51% 14% 144C 203g 25g
818C 624C 90g 982g 266g
883g 7% 897C 227g 269C
443C 9% 490C 102g 815g
291g 76% 621g 904C 214C
6% 156C 745C 84% 9%
351C 277C 823g 618C 12%
57% 40% 723C 0% 996C
149g 18% 20C 15% 587C
962C 25g 556g 359C 77%
60% 19% 672C 477g 329C
597C 80% 4% 83C 108g
465g 314g 662g 90% 44g
544C 55% 89g 577g 35%
92% 89g 373g 4% 720g
479g 55C 676g 367g 90C
534g 121C 862g 21% 777g
50% 633C 794g 716C 15%
304C 974C 792g 429g 368g
923g 858g 96% 255C 217g
398C 258C 11% 15% 42%
264g 851C 91% 240C 155C
744g 215g 23% 63% 133g
466g 16% 915g 130g 154g
14% 938C 48% 61g 18%
13% 646C 952g 592g 39%
28% 609C 35% 2% 26%
435g 48% 813g 754C 413C
94% 6g 455g 914C 291C
77% 787g 716C 963g 763g
869C 92% 923g 79C 3%
38C 171C 74% 356C 377C
9% 7% 58% 335g 10%
754g 49% 17C 56g 5%
293C 825C 42% 48% 3%
449C 26g 2% 50% 930g
488C 588C 83% 415g 406g
36% 19% 515C 65g 612g
128g 613g 34% 827g 353g
85% 794g 8% 530C 921C
172g 339g 723g 754g 163C
500C 780C 51% 46% 0%
40% 680g 921C 35% 814g
92% 98C 2% 990C 5%
755C 1% 928g 454g 46%
548C 165C 713g 95% 4%
69% 448C 28% 441g 0%
-
874C 818g 49% 567g 157C
10% 901g 81% 38g 229g
3% 96% 383C 0% 797C
511C 93% 784g 503C 904C
440C 649g 9% 3% 69%
347C 25% 264C 324C 28%
5% 44% 595g 44% 1%
63% 363g 4% 20% 372C
11% 85% 2% 1% 990C
516g 118g 345g 293C 515g
86% 56C 444g 274C 976g
313g 366g 280g 16% 19%
581g 54% 655g 116g 289g
31% 963g 776C 25% 31%
50C 883C 990g 853g 45%
65% 975g 582g 570C 635g
683g 886g 554C 405g 66g
265C 108C 236C 16C 9%
73% 793g 893g 83C 7%
75% 12% 107C 5% 5%
640g 462C 731C 551C 92%
713g 486g 718C 586C 546g
224C 826C 487g 57% 150g
410g 657C 891g 75% 488C
406C 738C 12% 55% 962g
362C 447C 751C 474C 97%
36% 766C 632C 334C 11%
79% 727C 453C 926C 489g
54% 32% 392g 35C 742g
194g 144g 24% 30% 387g
84% 15% 236g 55C 217g
754C 52% 36% 414g 415C
744C 87% 11% 368g 1%
19g 874g 224g 92% 977C
80% 5% 11% 529g 1%
891C 259g 957C 593C 427C
84% 79C 10% 474C 3%
659g 35% 44% 506g 534C
26% 196g 207g 51% 534g
570g 97% 681g 0% 797g
959C 759C 53% 998C 639g
390g 310g 54% 443C 36%
24% 648g 242g 33% 837C
139C 131g 42% 509g 448C
26% 818C 129C 58C 150g
902g 322g 799g 32% 112C
351C 217g 150C 371g 852g
159g 363C 919g 2% 417g
58g 30g 74% 945C 858C
227g 660C 43% 51% 173C
39% 943g 14C 12% 10%
672C 588C 982g 36% 321g
336g 7C 49g 511g 69%
621g 370g 410g 30% 505g
473g 924C 232C 223g 86%
-
22% 625C 198C 47% 197g
228g 42% 56% 275g 1%
50% 23% 19% 86g 318C
583g 132g 64g 587g 937g
219C 94% 4% 591g 543C
887g 240C 856C 893C 54%
29% 403g 40% 443g 266g
77% 250C 11% 337g 850C
173g 577C 51% 502g 79C
307g 249C 822C 78% 4%
350g 634g 90% 217g 2%
11g 509C 320C 373g 456C
434g 162g 474C 85% 2%
800C 495g 57% 323g 717g
894g 613g 21% 116g 2%
200g 36% 282C 698C 54%
47% 958g 457C 16% 31%
189C 31% 43C 3% 700g
732g 850C 614g 934C 4%
669g 122g 46% 23% 711C
182g 581C 55g 70% 136g
99C 722g 40% 434g 25%
378g 742g 706C 80% 920g
46% 44g 15% 455g 947g
512g 11% 22% 627C 729g
74% 411C 960C 4% 6%
83% 4% 0% 32g 244g
98% 378g 695g 1% 863C
359C 6g 5% 79% 6%
442C 933C 21% 34% 4%
485C 983C 450g 47% 57C
14% 951g 1% 138C 621C
44% 37g 12% 34% 664C
701C 842g 69g 66% 264g
578g 245C 250C 37% 55%
236g 78% 794C 785g 6%
314g 3% 32% 153C 48%
228g 848g 547g 961C 91%
46% 349g 54C 40% 403g
640C 944g 578g 67% 20%
501g 773C 787C 153g 108C
33g 476g 631g 877g 69%
25% 702g 305C 199C 364g
80g 543g 919g 526C 431C
73% 21% 199C 2% 355g
709g 63% 902g 35% 546C
35C 626C 32% 261C 322C
346g 860g 96% 413C 136C
130C 1% 961C 266C 809C
766g 39% 26% 642C 982g
83% 0% 7% 3% 488C
307g 741g 15C 116C 60%
446C 121g 23% 509g 987C
233g 524g 414C 8% 482C
661C 418g 50% 7% 67C
43% 48g 751C 663g 241g
456C 773g 27% 628g 9C
635g 604C 777C 839C 172g
104C 772g 179g 28% 48%
845g 601C 628g 510g 16C
424g 42% 409g 183C 906g
58% 1% 867g 35% 197C
821g 292g 365g 3% 881g
47% 974g 686C 313g 335g
76% 22% 825C 0% 553g
31C 50C 149C 48% 643g
75g 39% 384C 52% 746g
269g 18g 74% 9% 231g
835g 89% 5% 654C 594g
68C 392C 74% 20% 825g
88C 852C 3C 6% 24%
79% 500g 0% 510g 3%
187C 477C 0% 707g 867C
262g 332g 765g 93% 751C
9C 498g 802g 0% 68%
68% 371C 687C 9% 108g
83% 12% 486g 4% 912g
83% 240C 134g 3% 707g
765C 639C 73g 512g 776g
990C 992g 427g 154g 413C
592C 691g 430g 227C 964g
629g 763C 570g 98% 111C
703C 539g 467g 229g 452C
391g 92% 581C 259g 4%
47% 657g 22% 10% 662C
348g 315C 765C 205g 107C
637C 406g 932g 756g 148g
120C 778C 158g 9% 322g
123g 88g 909C 77% 200g
476C 235C 671g 22% 711g
55% 28% 665g 87g 3%
745g 83% 15% 1% 510C
20% 60% 574C 474g 230g
871C 721C 76% 17% 1%
376g 22C 43% 203g 64C
25C 756C 739C 961g 831g
-
54% 35% 6% 964C 324C
52% 20% 576g 618g 292g
39% 792C 815g 14% 3%
132g 139C 955g 521g 77%
397C 26g 197C 773g 317C
51% 14% 21% 13% 43g
21% 489C 485g 7% 67g
203C 823C 61% 536C 540C
552g 63% 27% 709C 9%
987C 279g 523g 24% 474g
730C 859g 259g 278C 59g
353C 13% 10C 9% 863C
23% 89C 31g 15% 54%
51g 427C 991g 83% 10%
791g 506C 8% 78% 940C
76g 480C 70% 23% 4%
44% 35% 186C 710C 888g
16% 43% 88C 643g 749g
428C 50C 694C 24% 819C
716g 24% 34% 3% 18%
96% 1% 0% 887C 120g
53% 813C 45% 181g 0%
633C 63% 797g 68C 298g
904g 53% 11% 755C 99C
810g 75% 113g 483g 220C
294g 380C 111g 10% 9%
36% 3% 979C 422g 15C
313g 779C 802C 75% 538g
211g 802C 893C 474g 445C
316g 8% 774C 768g 725C
71% 962g 478g 94g 15%
802g 68% 13% 869C 868g
498C 599C 111C 446C 23%
664C 562g 548g 42% 598g
626C 60% 36% 559g 104g
892g 64% 761g 2% 1%
82% 839g 301g 389g 733C
243g 92C 857C 425g 26%
43% 484C 34% 20% 156C
530C 70% 939g 812g 971C
19C 256C 269g 912C 881g
576g 561g 236g 361C 65g
21% 459g 20C 32% 41%
-
98g 985C 73% 473C 331g
348g 77% 21% 1% 123g
944C 153g 443C 207C 34%
5C 53% 346C 441C 698C
35% 885g 3% 43% 10%
677C 217g 40% 7% 289C
348C 58% 285g 24% 427C
4% 37% 328g 674C 771C
145C 30% 631C 26% 722C
92% 959C 324g 658g 4%
35% 35% 23% 151C 6%
77% 75C 7% 2% 777g
85g 28% 71% 993C 0%
118g 53% 36% 7% 625C
38% 54% 6% 419C 320C
253g 69% 801g 25% 1%
168C 347C 319C 48% 570C
653g 728g 21% 113g 61%
241g 38% 982g 45% 139C
71% 13% 81g 5% 730C
756C 608g 97% 1% 0%
144C 918C 579g 79% 18%
27% 829g 165g 11% 341C
42% 239g 285C 21% 547C
986g 70% 379g 157C 27%
228C 377C 31% 968C 65%
11% 462C 581C 438C 964C
219g 82% 560C 6% 171C
551C 596g 160g 76% 136g
494C 997g 101C 705g 95%
229g 324C 755C 724C 954g
27% 54% 8% 3C 992g
380g 342C 443g 659g 87%
522g 21% 880g 435g 174g
56% 598C 977C 417C 403C
824g 896C 864C 14% 192g
931g 269g 616C 81% 810C
144C 61% 272g 29% 871C
51% 723C 917C 743C 38%
84% 705g 699g 59C 725C
740C 87% 964C 5% 254g
36% 462g 45% 46C 8%
139g 256C 106C 517g 40%
387C 464g 186g 86% 11%
146C 498C 476g 41% 0%
736C 204g 46% 0% 180g
258g 25% 41% 854g 542g
520g 800g 50% 977g 503g
647g 90C 84% 218g 4%
77% 965C 0% 21% 587g
926C 97% 830C 707g 342C
948C 801g 546C 79% 623g
15% 797g 22% 10% 22%
333C 90C 584C 682g 79C
853g 367C 770g 92% 381g
84% 8% 729C 6% 252C
403g 651g 620C 765g 230g
680C 928C 41% 664C 46%
553C 294g 16% 80% 147C
27C 698g 395C 969g 973C
709C 86% 6% 687C 966C
114g 321g 449g 83% 871g
366g 33% 3% 86g 13%
6% 65C 87g 272g 186C
612g 10% 60g 44% 12%
478g 99g 50% 891g 39g
149g 434C 89% 9% 1%
52% 875g 16% 625g 131C
19g 376C 920g 555g 16%
148C 491C 831g 104g 895C
91% 363g 214g 6% 0%
333C 643g 977C 89C 80C
831C 822C 163g 907g 21%
724g 654g 931C 51% 40%
219C 692g 7% 18% 30%
805C 143C 763g 32% 35%
177C 470g 94% 403C 587g
384C 911g 21g 1% 318g
419g 47% 454g 11% 932C
945C 560g 92% 169g 0%
862C 14% 82% 0% 144g
280C 342C 31% 337C 587C
314C 31% 35% 932g 423C
281g 477g 410C 187g 19%
25% 600g 178g 667g 540g
489C 91% 4% 947C 20g
201C 655g 201C 81% 376C
24% 152g 24% 807g 6%
347C 5% 259g 686C 69%
29% 360C 39% 354g 653C
-
30% 66% 709g 262g 760g
48% 43% 410C 1% 314C
898C 95% 2% 0% 1%
8% 4% 14% 66% 122C
525C 506C 313C 357g 86%
72% 593C 970g 19% 42g
87% 188g 8% 421g 702C
639g 518C 76% 23% 521C
57C 437g 565C 860g 623C
89% 5% 2% 268g 3%
80% 903g 264C 582g 965g
32% 100g 48% 881C 14%
43% 966g 985g 34% 22%
77% 7% 791g 411C 436g
28% 14% 242g 50% 4%
979g 420C 315C 474g 11C
583g 28g 772C 84% 193g
264g 740g 655C 550C 57%
222g 585C 34% 47C 39%
196C 351g 474g 44g 660C
630g 16% 51% 57C 628C
219g 3% 492C 58g 20%
655g 919g 74% 130C 403C
60C 19% 108g 699C 664C
31% 530g 392C 75C 619C
75% 24% 632g 0% 419g
57% 833C 12% 443g 458g
939g 42% 176C 197g 889C
629C 442g 512C 452g 189C
4g 2% 475g 85% 522C
377C 432g 931C 59% 860C
96% 1% 345C 165g 34g
372g 53% 228g 337C 30%
54% 320C 23% 21% 84C
964g 0% 71% 759C 946C
343C 536g 745C 181g 828g
293C 414C 568g 69% 383g
74% 739C 629C 772g 13%
886g 389C 94% 539C 568C
709C 2% 178C 942C 737C
106C 24g 38% 9% 395C
780g 852g 56C 303g 223C
14% 84g 407C 287g 67%
26g 340C 666g 8% 988g
32C 89% 290C 831g 4%
69% 338C 623C 7% 446C
90% 6% 227C 608C 200C
495C 69% 468C 833C 304g
6% 83g 431C 86% 672g
939g 61C 45% 37% 628C
54% 606g 13% 34g 18%
921g 16% 830C 55% 951C
209g 54% 937g 263g 106g
485C 18% 36C 870g 125C
113g 85% 755g 929g 888g
13% 122C 72C 568C 68%
283C 386g 508g 183C 97%
679C 411g 292g 32g 40g
6% 721g 66% 45g 186g
420g 633C 23% 933g 872C
72% 440g 20C 2% 19%
676g 400C 98% 895C 0%
64g 903g 199C 43% 3%
614g 23g 593C 491C 99%
941g 320C 577C 568C 562C
258g 81% 11% 239C 0%
43g 838C 989g 462g 82%
335g 441g 18g 25% 842C
479C 317C 613g 545g 324C
234g 96C 85% 208g 10%
213C 266C 612C 24g 27%
729C 67% 171C 447C 2%
935C 490C 96% 469g 3%
98% 344C 798g 905g 1%
689C 591g 25% 940C 10%
396C 449C 2% 16% 13%
62% 886g 873g 66C 23%
963g 894g 260C 20% 343C
79% 378C 978C 19% 1%
586g 939C 375g 14% 79%
909g 30% 2% 874C 7%
40% 661C 555g 703C 483C
68% 228C 599C 320g 397C
-
58% 4% 981g 39C 106g
258g 622g 88% 9% 96g
641g 24% 469g 22% 14%
25% 57% 802C 14% 106C
450C 148g 46% 37C 61g
979g 356g 204g 536C 460C
11% 503C 883g 659C 146g
558C 82% 13% 46g 512C
49% 162C 800g 783g 40%
3% 3% 278g 3% 61%
54% 162g 477C 0% 651C
335C 526C 57% 567C 15g
589g 70% 924g 91C 7%
52% 369C 29% 903g 1%
585C 806g 58% 34% 0%
840g 75% 172g 11% 0%
566C 92% 510C 6% 0%
19% 321C 73% 492g 4%
830g 450g 10% 209C 237C
74% 346g 91C 4% 621g
137C 190C 769g 741C 393C
15% 149C 780C 540g 437C
41% 933C 429g 396C 601C
550g 14C 900g 813C 749C
842C 781g 782C 6% 903C
51% 654g 20% 760g 2%
5% 83% 504g 254g 48C
875C 220C 585C 921g 28g
39% 624C 216C 39% 347g
690C 503C 23% 901g 17%
886g 92% 911C 5% 626g
9C 673g 559g 97% 219C
33% 749g 53% 447C 555C
959C 78% 899C 633g 473g
258C 377C 468g 173g 430g
10g 654C 3% 137g 770g
77% 133C 11% 8% 449C
830g 704g 990g 847g 89%
908C 92% 64g 676g 1%
893C 28% 485g 762C 683C
103g 270C 424g 31% 777g
1% 224g 59% 941g 841C
130C 321C 816g 123g 92%
494g 376C 6C 78% 9%
962C 44% 224g 179g 532g
461C 59% 39% 645g 0%
60% 885C 18% 21% 581C
3% 349C 82C 90% 5%
33% 995C 41% 22% 170g
426C 331C 866C 908g 697C
78g 37% 352g 1% 56%
188C 53% 214C 205C 184g
64% 21% 12% 397C 535C
376g 847C 393g 636C 55g
895C 190g 780C 96g 42g
64g 43% 854g 748g 757g
699C 250C 951g 98C 446g
60% 29% 641g 3% 218g
69% 4% 255C 25% 1%
992g 783C 363g 589C 74%
66% 0% 585C 949g 24%
92% 802C 145C 61g 766C
29% 995g 352C 49% 171C
-
137C 9% 498g 44% 38%
334C 477C 70% 647g 5g
636C 172g 467C 52% 701C
42% 338C 748C 10% 578C
82% 101C 498C 17% 79g
675g 72% 20% 730C 5%
98% 0% 0% 672C 34g
309g 866g 781g 186C 862C
841g 333C 89g 54% 0%
954C 802g 856C 60% 181C
482g 115g 957g 65% 23%
61% 27% 0% 7% 429C
801C 89% 17g 104C 1%
75% 480C 60C 591g 7%
5% 603g 89% 185g 338g
56% 43% 0% 591g 149g
540C 80% 367g 161g 18%
987C 91% 50C 786g 370g
3% 967g 70% 626C 669C
237g 99% 286g 10C 0%
246C 55% 112g 720C 26%
74% 969C 5% 7% 209g
408g 395C 216g 78% 834g
658g 782C 69% 171g 144g
684g 18% 563g 81% 106C
9% 455C 74g 990C 601g
765C 256g 472g 793g 372C
361C 159C 414C 5g 98g
221g 330g 615C 699g 61%
30% 21% 925C 6% 380g
711g 597g 625g 592g 24%
447g 701g 74% 16% 3%
178C 25% 19% 178C 32%
750g 3C 5% 359C 37%
144g 382g 92% 866g 86g
277C 847g 59C 8% 153C
47% 819g 251g 131g 24%
547g 58% 29% 2% 5%
779C 545C 65% 570g 193g
858g 330C 842g 6C 45%
69% 9% 77C 21% 420C
846C 23% 530C 66% 6%
527C 232C 655C 143g 49g
50% 34% 6% 243g 480C
342g 566g 70% 206C 10%
310g 599C 89% 617C 972g
73% 489g 26% 923g 669C
846C 81% 776C 16% 569C
56% 893C 773C 42% 0%
113g 965g 901C 194g 384C
79% 874C 347g 164g 985C
673g 316C 53% 152g 13%
10% 762g 2% 481g 7%
309g 448g 135g 38% 7%
736g 21% 46% 845g 846g
26C 680g 736g 156C 731C
434C 470g 28% 29% 608g
693g 821C 748C 42% 25%
76% 1% 18% 0% 306g
651g 64g 327C 79C 58%
797C 84% 718C 10% 431g
1% 73% 767C 291g 878g
379C 393C 3g 87% 781g
475g 748C 900g 96% 179g
467C 238g 34% 39% 65g
78% 285g 5% 992g 12%
23% 55C 466C 73% 1%
94% 454C 0% 942g 318g
701C 155C 469C 78% 10%
939C 12g 22% 302C 993C
87C 476g 275C 634g 546g
576C 150C 937C 477g 784C
25C 0% 22% 22% 888C
-
27% 560g 63% 855C 6%
974C 310C 594C 535C 769g
39% 189C 619g 498C 952g
26% 616g 499g 499g 11%
866g 15% 577C 161C 18%
4% 480g 892C 557g 146g
6% 788C 5% 218g 346C
71% 635C 4% 21% 28C
242C 334g 178C 173g 321g
245g 243C 901g 25C 972C
235C 641g 530C 434g 45C
50% 498C 11% 915g 17%
205C 68% 394g 3% 441C
-
28% 65% 158C 6% 621C
39% 53g 622C 47% 3%
714C 352C 601C 526g 116g
21% 63% 3% 7% 386C
690C 167g 552g 824g 49%
31% 228g 44% 8% 6%
971g 23% 189C 1% 37%
85C 270g 94% 3% 422C
93g 14% 189C 503C 562C
126g 889g 995C 23% 4%
899g 884C 651g 344g 50%
848g 423g 64% 115g 65g
29% 563g 51% 0% 665C
49% 209g 86C 17% 961g
900C 62% 176g 288C 798C
321g 897C 449g 146C 6%
63% 728g 594g 585g 948g
30% 708g 3% 722g 527C
869g 551C 84C 856C 354C
746C 571C 94% 2% 28g
29% 140g 54g 373g 64%
649C 749g 16% 77% 6%
787C 480C 42% 55% 605C
27% 913g 29% 27% 96g
151C 365g 49% 43% 557C
65% 371C 703C 72g 399C
86% 417C 0% 771C 9%
597C 316C 595C 47% 224g
593g 101g 40% 381g 88g
94% 1% 726g 905C 586g
17% 791C 497C 704C 123g
53% 22C 32g 63C 927g
-
121C 53% 856C 638C 596C
424C 877g 629g 218C 91C
131g 73% 192g 7% 562C
151g 734C 69% 18% 297g
45% 595g 235g 690g 902C
304g 89% 71C 8% 0%
480C 763C 450C 6% 643g
84% 1% 211g 655g 218g
35C 591g 51C 109C 38%
294C 42% 586C 293C 913C
199C 77% 476g 493C 594C
42C 89% 958C 0g 7%
268C 61% 611C 954C 20%
897g 617g 23% 367g 578g
483g 943g 957C 12% 82%
200g 574g 52% 13g 146g
178g 51% 35% 242g 95C
751g 144C 703C 300C 411g
540g 212g 76% 3g 175g
98C 46% 149g 576g 54C
563C 603g 3% 513g 826g
478g 239g 832g 259g 157C
338C 788C 156C 500g 33%
109C 63% 8g 722C 475C
797C 267g 996C 403g 288C
42C 167g 62% 472g 761g
973C 5% 14% 7g 35%
57% 26% 575C 925C 392g
243C 543C 17% 439g 471C
298C 422C 185C 621g 364C
75% 24% 0% 0% 106g
941C 427g 12% 593C 62%
103g 861g 96% 585g 2%
282C 224C 80% 16% 3%
672C 64C 828C 95% 432C
837g 526g 117C 96C 444C
652g 56% 208C 551g 121C
531g 594C 244g 827g 195g
777g 851C 83C 477g 670C
71% 10% 903g 668C 17%
409g 34% 33% 20% 270g
2% 11% 54C 873C 30g
157g 18% 533C 70C 281g
343C 411g 398C 456g 413g
911C 477C 668C 472C 414C
436C 56% 82g 481C 543C
4% 156C 515g 390g 140C
49C 918C 377C 57% 479C
4% 748g 274C 14% 76%
21% 987C 58C 12% 474C
603g 80% 2% 459g 110C
-
167C 88% 832g 6% 308g
513C 75% 61C 5% 657C
464C 541g 287g 796C 60%
439C 995C 759C 49% 471C
86% 3% 1% 144C 5%
820g 334C 536C 811C 73%
70% 451g 20% 297C 560C
99% 0% 0% 334g 0%
509C 620g 27g 68% 840C
13% 82% 0% 279C 391C
497C 90g 203g 284C 362g
959g 796g 70% 8% 365g
884C 243C 47% 192g 52g
21% 974g 150g 617C 420C
268g 906g 11% 56% 7%
81% 15% 1% 600g 1%
320g 554g 1% 529g 95%
2% 680C 4% 689g 744C
428C 859C 53C 5g 93%
658g 758C 812C 620g 82%
290g 927C 96% 667g 278g
93% 892C 73C 4% 951C
51C 67% 525C 7% 173C
61% 43C 138C 16% 829g
920g 384g 827C 58% 888C
41C 670C 53% 892C 27%
186g 80% 245g 674C 4%
970g 26% 909C 163g 14%
728g 43% 30% 297g 975g
857g 995g 44% 20% 29%
273g 30g 561C 258C 959C
128C 895g 90% 620C 587C
29% 57% 534C 18C 975g
575g 463C 953C 897C 101C
19% 895g 53g 662C 125C
21% 398g 331C 640C 6%
57% 568g 459g 6% 1%
916g 480g 922C 849C 559g
537C 81% 966C 219C 1%
926g 48% 347g 48% 520C
745g 64% 0% 31% 774C
28% 906C 63% 926g 183C
64% 119C 23% 424C 313C
32% 48% 988C 234C 839C
77% 14% 3% 0% 89C
51% 24% 18g 13% 7%
90% 812C 5% 4% 604g
109g 18% 569g 51C 40%
76% 545C 23% 44C 61C
20% 450C 678C 886g 418C
588C 76% 3% 9g 831C
554C 828g 392g 19% 52%
119C 84% 7% 886C 852C
20% 183C 750C 146C 257C
778C 642C 968g 217C 823C
20% 101C 864C 771g 666C
407g 67% 835C 14% 15%
15g 911g 364g 44% 270C
280g 13% 900g 675C 480C
99% 632g 829C 988g 152g
62% 727C 177g 16% 5%
440g 569g 91% 6% 845C
464C 50C 14% 83% 847C
23% 939g 538g 793C 338g
72% 828C 85g 615C 342C
932g 656g 902g 14% 7%
88% 6% 654g 997C 258g
22% 466C 277C 74C 672C
705C 574C 38% 36C 997g
566g 70% 15% 405C 829g
502C 99% 0% 0% 0%
848C 852C 439g 50% 295g
193g 184C 55% 18% 816C
28% 225C 55% 155g 16%
463g 549C 933C 457g 168C
82% 967C 929C 13% 586C
544C 512C 494g 1C 718C
826g 24% 848g 40% 13%
62% 11% 99g 803g 11%
965C 209C 72g 332g 57C
90% 583g 963C 7% 793g
971C 2% 91% 503C 377g
182g 7% 524C 799g 4g
259g 92C 714g 978g 42%
465g 679C 385g 25% 108C
798C 50% 738g 236g 31g
746g 39% 838C 949C 24%
292g 204g 634C 991C 30%
814g 46% 285C 53% 0%
466g 69% 8% 5% 376g
-
20g 6% 511C 686C 730g
37% 51% 644g 697g 3%
336C 793C 730g 860C 728g
444g 249C 91g 951g 84%
267g 92% 727g 324C 259g
848C 39% 492C 13% 364g
29% 470g 46% 791C 43g
900C 649g 17% 73% 1%
65% 239g 994C 21% 11%
61g 51% 248C 150g 281g
667g 208g 25% 45g 69%
-
436C 391g 545g 19% 264g
46% 364C 82C 980g 412C
94% 85g 770C 559g 4%
781C 308g 10% 999g 10%
395g 449C 18% 34% 22%
75g 599g 366C 24% 703C
35g 824C 360C 901g 68%
326g 379C 622C 11% 53%
19% 573C 440g 841g 13%
22% 733g 653C 784C 805C
250g 115C 611g 931g 955C
43% 709C 44% 559C 7%
35% 51% 537g 1% 645g
574g 2% 877g 132g 13%
590g 265g 50C 1% 349C
90g 458C 504C 915g 670C
88% 808C 638C 55g 197g
561g 276g 440g 390g 640g
12% 828C 907g 519g 754C
87% 8% 785g 0% 898C
87% 623C 991g 7% 2%
824g 365C 596g 689g 798C
656C 86% 4% 921g 617g
6% 984g 36% 348g 2%
305g 82% 537g 646g 197g
669g 83% 998g 2% 12%
92% 357C 184g 403C 1%
594C 643C 681C 58% 14%
124C 60% 0% 680C 130C
225C 928g 2g 16% 1%
16% 628g 71% 44g 988C
36% 935C 976C 559C 59%
334C 616g 762g 78g 376C
0% 723C 56% 341g 580C
308C 47% 24% 970C 132C
18C 49C 32% 604g 894g
939C 25% 2% 761g 486g
299g 11% 41% 921C 21%
36% 224g 49% 201C 520C
746C 42C 25% 656C 64%
929C 289g 440g 520g 446g
19% 852g 68% 705g 779g
69% 388g 200C 833C 11%
351C 466C 25% 74% 620C
75% 905C 787C 541g 1%
21% 197g 76% 727g 1%
346C 65% 950C 16% 10%
49% 782C 42% 784C 6%
910C 360g 53C 209g 18%
364C 72% 0% 171g 25%
46% 46% 5% 1% 1%
281C 13% 79% 690g 799C
863C 76% 544g 710g 8%
32% 14g 396g 44% 417C
424C 37% 340g 57C 124g
43% 724g 974g 9% 336C
501g 312g 632g 839g 59C
934g 6% 874C 33% 382C
91% 62C 549C 836C 425C
632C 593C 794g 357C 654C
593C 604g 463C 602C 761C
489g 62% 820C 939C 946g
181C 291g 26% 55g 58%
352g 1% 29% 787C 230g
558g 505C 70% 15% 334g
927C 63% 15% 8g 7%
462C 98% 290g 0% 0%
977g 230C 820C 61% 3%
541g 63% 18% 999C 7%
55g 258g 36C 974C 977g
179g 513g 41% 263g 11%
2% 372g 592g 925g 909g
19% 27% 13% 729C 5%
107C 17% 11% 10% 217C
602g 690C 936C 10% 577g
0% 35% 978g 26% 499g
118g 17% 69% 4% 998g
345g 686g 926g 22g 187C
760g 48% 347g 952g 23%
28% 410g 61% 3% 3%
58% 39% 0% 118g 891C
693C 445g 51% 521C 31%
706C 565g 80% 163g 13%
28% 131g 23% 608g 297C
287C 7% 784C 877C 57%
613g 11% 292g 189C 698C
6% 22% 183C 292g 847C
347g 931g 867C 64g 73%
429C 300C 18% 336C 752C
454C 13% 34% 731g 644g
680C 713C 97% 0% 380g
790g 392C 54% 45% 0%
276C 498g 41% 390g 55%
655C 25% 32% 29% 11%
415C 546C 19% 17% 6%
699g 873g 12% 847C 55%
988C 307C 318g 287g 51%
706g 99% 278C 56g 0%
-
76% 670g 285C 725C 832C
75% 269C 748g 879C 961C
28% 652g 710C 29% 35%
9% 73% 10% 0% 841g
246g 734C 8% 478C 12%
292C 72% 822g 6% 18%
911g 347g 786g 182C 837g
211C 443g 52% 132C 10%
222C 478g 230C 381C 19%
67% 2% 8% 17% 679g
73C 41% 35% 972C 528g
66% 549g 31% 600C 0%
657g 855g 615g 59% 716g
492g 82% 11C 383g 200C
50% 12% 915C 632g 141C
788g 309C 89% 661C 411C
91% 2% 542g 0g 570C
189C 520C 21% 414g 951g
66% 57g 734C 22% 10%
